Training information

epoch, MSE
0, 0.883786914046069
1, 0.8140614615125745
2, 0.8093763242254691
3, 0.8071641144012308
4, 0.8057158411936846
5, 0.804501175194997
6, 0.8040797098991005
7, 0.8032546902892514
8, 0.8029693908484433
9, 0.802722189024248
10, 0.8028739665367649
11, 0.8020693881830812
12, 0.8019897974195408
13, 0.8017537191027166
14, 0.8021251017670272
15, 0.8015627652859852
16, 0.8018847046819131
17, 0.801899383052372
18, 0.8016434555826827
19, 0.8018919800767125
20, 0.8014710600877344
21, 0.8017549248324213
22, 0.801255190603955
23, 0.801871347484394
24, 0.8010790106548891
25, 0.8014292098852871
26, 0.8008340341578882
27, 0.8010178919821728
28, 0.8011732001318205
29, 0.8008360024099697
30, 0.8007278392317151
31, 0.8008078732184417
32, 0.8007213238773734
33, 0.8009322792062901
34, 0.8008625124825639
35, 0.8007848298981611
36, 0.800629721216374
37, 0.800757128710063
38, 0.8009679182117818
39, 0.8006688279263949
40, 0.8007724557687883
41, 0.8006070450065842
42, 0.8003859100998907
43, 0.8001188076356632
44, 0.8003604003485707
45, 0.7999918641173612
46, 0.8005273044075628
47, 0.8005323744996115
Test information

accuracy, mse, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
ERROR NUMBER
3398
SIZE
10000
0.6602, 0.7702, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0

