Training information

epoch, MSE
0, 1.484663672758273
1, 1.4684683789494342
2, 1.4622582599766747
3, 1.4670863540928656
4, 1.4642723175859282
5, 1.4651511214912452
6, 1.4633207109210797
7, 1.4619227943190778
8, 1.466477561343423
9, 1.4651445497256401
10, 1.4664704093162633
11, 1.46469719891858
12, 1.4612419637087097
13, 1.463715035304555
14, 1.4614574791765507
15, 1.4626124452112894
16, 1.464313951925779
17, 1.4613088104718597
18, 1.4673290304768936
19, 1.4637461791023156
20, 1.4651132003937508
21, 1.4643256364121564
22, 1.463726427751918
23, 1.4646369821531744
24, 1.4685499032671048
25, 1.466186691475223
26, 1.4621661604861211
27, 1.4658239230600474
28, 1.462707389799272
29, 1.464774851495047
30, 1.4659692081760658
31, 1.4610142572071338
32, 1.4638424831532157
33, 1.466281516761389
34, 1.465296566365195
35, 1.46648519413753
36, 1.466057022718652
37, 1.4629586335952978
38, 1.4625742793838385
39, 1.464992334534529
40, 1.4667833071811642
41, 1.4645073895311407
42, 1.4687483066106002
43, 1.4621568805976874
44, 1.460531554759764
45, 1.4570687824585824
46, 1.4589674959742058
47, 1.4668769686369387
48, 1.464286967355748
49, 1.4646156702469049
Test information

accuracy, mse, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
ERROR NUMBER
4072
SIZE
10000
0.5928, 1.0866, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
